College,Year,Credit Enrollment Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Success Count
Desert,2021-2022,54285.0,36206.0,53308.0,35699.0,49723.0,33332.0
Desert,2022-2023,56412.0,38445.0,55807.0,38082.0,51967.0,35337.0
Desert,2023-2024,59492.0,42227.0,59184.0,41976.0,55060.0,38613.0
Diablo Valley,2014-2015,117396.0,86371.0,112180.0,82742.0,103454.0,76697.0
Diablo Valley,2015-2016,116891.0,86190.0,111795.0,82655.0,103621.0,77001.0
Diablo Valley,2016-2017,114624.0,85685.0,109735.0,82205.0,102397.0,77181.0
Diablo Valley,2017-2018,114220.0,86187.0,109518.0,82842.0,102726.0,78062.0
Diablo Valley,2018-2019,112327.0,85159.0,107961.0,81890.0,101746.0,77318.0
Diablo Valley,2019-2020,101478.0,82851.0,97539.0,79686.0,94831.0,77421.0
Diablo Valley,2020-2021,99830.0,80138.0,96320.0,77371.0,93357.0,74595.0
Diablo Valley,2021-2022,93420.0,71808.0,90741.0,69939.0,87507.0,66809.0
Diablo Valley,2022-2023,89350.0,69064.0,86752.0,67174.0,84168.0,64615.0
Diablo Valley,2023-2024,135126.0,104978.0,132393.0,102823.0,130457.0,100919.0
East LA,2014-2015,170369.0,121938.0,161737.0,116916.0,119457.0,82140.0
East LA,2015-2016,171350.0,121576.0,163322.0,117205.0,122243.0,84125.0
East LA,2016-2017,175661.0,128892.0,168510.0,125013.0,123016.0,86961.0
East LA,2017-2018,157661.0,112627.0,149688.0,108287.0,118440.0,83856.0
East LA,2018-2019,161951.0,117227.0,158112.0,115334.0,122567.0,85251.0
East LA,2019-2020,149533.0,114923.0,148085.0,113939.0,115514.0,84788.0
East LA,2020-2021,135753.0,98088.0,134497.0,97247.0,112227.0,78492.0
East LA,2021-2022,115303.0,81919.0,114476.0,81339.0,94023.0,63636.0
East LA,2022-2023,121639.0,85919.0,120717.0,85355.0,100036.0,66511.0
East LA,2023-2024,141536.0,101219.0,140941.0,100741.0,109758.0,70467.0
El Camino,2014-2015,125167.0,84509.0,118613.0,80547.0,104352.0,72284.0
El Camino,2015-2016,121551.0,83211.0,115187.0,79486.0,101572.0,71798.0
El Camino,2016-2017,127719.0,88716.0,120767.0,84543.0,106475.0,76286.0
El Camino,2017-2018,129964.0,91594.0,123538.0,87794.0,110354.0,80198.0
El Camino,2018-2019,129703.0,92121.0,124786.0,89113.0,115304.0,83819.0
El Camino,2019-2020,119328.0,90542.0,113020.0,86763.0,109942.0,84743.0
El Camino,2020-2021,118233.0,81802.0,111604.0,78355.0,109012.0,76698.0
El Camino,2021-2022,104286.0,71702.0,98224.0,68516.0,96625.0,67593.0
El Camino,2022-2023,112923.0,77877.0,106057.0,74285.0,105107.0,73592.0
